"id","inclinacion_peligrosa"
1,1
2,1
4,1
6,1
9,1
13,1
14,2
17,2
23,1
28,2
30,1
31,1
34,1
35,1
44,1
48,1
49,1
51,2
52,1
53,1
61,2
62,1
66,1
73,1
83,1
86,1
92,1
102,2
110,1
111,1
115,1
119,1
120,1
122,1
123,2
127,1
128,1
131,1
141,1
142,1
144,1
152,1
156,1
157,1
158,1
160,1
163,1
164,1
167,1
169,1
171,1
175,1
176,1
178,1
183,1
184,1
197,1
201,1
202,1
203,1
209,2
210,2
214,1
221,2
225,1
227,1
236,1
238,2
241,2
244,1
249,1
251,1
254,1
256,1
264,1
267,1
270,1
273,1
275,1
276,1
279,1
280,1
285,1
286,1
287,1
289,1
290,1
300,1
301,1
302,1
303,1
304,1
307,1
312,1
315,1
319,1
323,1
328,1
336,1
343,1
345,1
346,1
350,1
356,1
363,1
365,1
368,1
370,1
371,1
373,1
374,1
375,1
376,1
377,1
379,1
380,1
381,1
385,1
388,1
399,1
404,1
409,1
411,1
417,1
420,1
421,1
436,1
441,1
442,1
450,1
455,1
456,1
461,1
462,1
464,1
467,1
475,1
478,1
484,1
485,1
493,1
499,1
504,1
505,1
509,1
510,1
517,1
521,1
522,1
528,1
534,1
538,1
539,1
542,1
545,1
547,1
548,1
550,1
563,1
569,1
573,1
574,1
576,1
577,1
579,1
580,1
582,1
585,1
586,1
590,1
594,1
604,1
606,1
607,1
612,1
614,1
615,1
617,1
619,1
629,1
632,1
635,1
637,1
639,1
640,1
642,1
644,1
645,1
648,1
649,1
653,1
659,1
661,1
668,1
670,1
676,1
683,1
687,1
690,1
692,1
694,1
699,2
701,2
702,2
704,1
705,1
707,1
710,1
714,1
717,1
718,1
720,1
721,1
722,1
726,1
734,1
736,1
737,1
738,1
739,1
740,1
747,1
749,1
756,1
757,1
762,1
768,1
773,1
774,1
775,1
776,1
783,1
788,1
789,1
798,1
799,1
802,1
804,1
812,1
816,1
817,1
821,1
825,1
829,1
830,1
832,1
834,1
835,1
836,1
840,1
841,1
843,1
847,1
849,1
850,1
852,1
857,1
863,1
872,1
878,1
881,1
882,1
890,1
899,2
901,1
902,1
905,1
907,1
910,1
918,1
927,2
929,2
930,2
940,2
944,1
953,1
959,1
964,2
974,1
975,2
978,1
980,1
983,1
989,2
990,1
991,2
997,1
999,1
1004,1
1005,1
1008,1
1009,1
1013,1
1017,1
1021,1
1028,1
1029,1
1038,1
1043,1
1046,1
1047,1
1050,1
1058,1
1060,1
1062,1
1070,1
1072,1
1079,1
1093,1
1094,1
1096,1
1099,1
1104,1
1106,1
1111,1
1114,1
1120,1
1121,1
1124,1
1128,1
1129,1
1134,1
1137,1
1145,1
1148,1
1149,1
1151,1
1152,1
1156,1
1161,1
1164,1
1171,1
1177,1
1181,1
1187,1
1188,1
1193,1
1202,1
1205,1
1209,1
1225,1
1227,1
1230,1
1231,1
1232,1
1233,1
1236,1
1237,1
1242,2
1247,1
1256,1
1257,1
1262,1
1266,1
1269,1
1271,1
1272,1
1281,1
1284,1
1285,1
1291,1
1294,1
1301,1
1303,1
1306,1
1307,1
1312,1
1322,1
1326,1
1327,1
1334,1
1336,1
1343,1
1347,1
1348,1
1360,1
1365,1
1369,1
1375,1
1376,1
1377,1
1378,1
1383,1
1384,1
1390,1
1394,1
1397,1
1398,1
1401,1
1402,1
1404,1
1405,1
1407,1
1409,1
1410,1
1411,1
1416,1
1421,1
1422,1
1428,1
1432,1
1433,1
1436,1
1441,1
1444,1
1449,1
1450,1
1451,1
1462,1
1466,1
1468,1
1470,1
1471,1
1473,1
1478,1
1492,1
1496,1
1497,1
1503,1
1504,1
1505,1
1506,1
1514,1
1516,1
1524,1
1530,1
1533,1
1536,1
1540,1
1541,1
1558,1
1560,1
1564,1
1570,1
1573,1
1576,1
1577,1
1580,1
1582,1
1587,1
1589,1
1590,1
1591,1
1598,1
1599,1
1602,1
1607,1
1610,1
1611,1
1617,1
1618,1
1621,1
1630,1
1633,1
1639,1
1642,1
1644,1
1646,1
1647,1
1648,1
1650,1
1651,1
1652,2
1653,1
1654,1
1656,1
1657,1
1658,1
1666,1
1668,1
1669,1
1673,1
1674,1
1676,1
1678,1
1680,1
1684,1
1688,1
1693,1
1696,1
1700,1
1706,1
1708,1
1721,1
1724,1
1726,1
1728,1
1729,1
1731,1
1733,1
1735,1
1737,1
1740,1
1742,1
1747,1
1749,1
1750,1
1756,1
1760,1
1764,1
1765,1
1772,1
1776,1
1778,1
1779,1
1780,1
1782,1
1786,1
1791,1
1795,1
1797,1
1799,1
1801,1
1804,1
1807,1
1812,1
1820,1
1826,1
1834,1
1836,1
1838,1
1839,1
1848,1
1853,1
1863,1
1865,2
1870,1
1872,1
1878,1
1882,1
1886,1
1892,1
1899,1
1902,1
1905,1
1911,1
1913,1
